,n,augs,score,vocab,runs
0,10.0,0.0,0.524,180.0,0.0
1,10.0,4.0,0.521,226.0,0.0
2,10.0,8.0,0.516,284.0,0.0
3,10.0,16.0,0.516,337.0,0.0
4,10.0,32.0,0.519,442.0,0.0
5,10.0,64.0,0.516,567.0,0.0
6,50.0,0.0,0.517,943.0,0.0
7,50.0,4.0,0.508,1255.0,0.0
8,50.0,8.0,0.516,1542.0,0.0
9,50.0,16.0,0.507,1942.0,0.0
10,50.0,32.0,0.512,2443.0,0.0
11,50.0,64.0,0.507,3098.0,0.0
12,100.0,0.0,0.519,1291.0,0.0
13,100.0,4.0,0.518,1757.0,0.0
14,100.0,8.0,0.518,2025.0,0.0
15,100.0,16.0,0.513,2535.0,0.0
16,100.0,32.0,0.516,3139.0,0.0
17,100.0,64.0,0.517,3922.0,0.0
18,500.0,0.0,0.543,3711.0,0.0
19,500.0,4.0,0.547,5112.0,0.0
20,500.0,8.0,0.551,5985.0,0.0
21,500.0,16.0,0.549,7022.0,0.0
22,500.0,32.0,0.55,8217.0,0.0
23,500.0,64.0,0.545,9646.0,0.0
24,2000.0,0.0,0.561,8966.0,0.0
25,2000.0,4.0,0.566,11801.0,
26,2000.0,8.0,0.57,13323.0,
27,2000.0,16.0,0.572,14919.0,
28,2000.0,32.0,0.569,16689.0,
29,2000.0,64.0,0.575,18307.0,
