,n_base,n_aug,del_p,acc
0,10.0,9990.0,100.0,0.549
1,10.0,9990.0,95.0,0.735
2,10.0,9990.0,90.0,0.761
3,10.0,9990.0,85.0,0.758
4,10.0,9990.0,80.0,0.752
5,10.0,9990.0,75.0,0.768
6,10.0,9990.0,70.0,0.779
7,10.0,9990.0,65.0,0.784
8,10.0,9990.0,60.0,0.787
9,10.0,9990.0,55.0,0.789
10,10.0,9990.0,50.0,0.793
11,10.0,9990.0,45.0,0.785
12,10.0,9990.0,40.0,0.785
13,10.0,9990.0,35.0,0.789
14,10.0,9990.0,30.0,0.788
15,10.0,9990.0,25.0,0.784
16,10.0,9990.0,20.0,0.777
17,10.0,9990.0,15.0,0.782
18,10.0,9990.0,10.0,0.786
19,10.0,9990.0,5.0,0.777
20,10.0,9990.0,0.0,0.764
21,50.0,19950.0,100.0,0.708
22,50.0,19950.0,95.0,0.671
23,50.0,19950.0,90.0,0.71
24,50.0,19950.0,85.0,0.738
25,50.0,19950.0,80.0,0.759
26,50.0,19950.0,75.0,0.771
27,50.0,19950.0,70.0,0.786
28,50.0,19950.0,65.0,0.801
29,50.0,19950.0,60.0,0.802
30,50.0,19950.0,55.0,0.801
31,50.0,19950.0,50.0,0.804
32,50.0,19950.0,45.0,0.804
33,50.0,19950.0,40.0,0.799
34,50.0,19950.0,35.0,0.795
35,50.0,19950.0,30.0,0.789
36,50.0,19950.0,25.0,0.79
37,50.0,19950.0,20.0,0.785
38,50.0,19950.0,15.0,0.785
39,50.0,19950.0,10.0,0.775
40,50.0,19950.0,5.0,0.767
41,50.0,19950.0,0.0,0.754
42,100.0,18252.0,100.0,0.707
43,100.0,18252.0,95.0,0.694
44,100.0,18252.0,90.0,0.661
45,100.0,18252.0,85.0,0.704
46,100.0,18252.0,80.0,0.723
47,100.0,18252.0,75.0,0.759
48,100.0,18252.0,70.0,0.76
49,100.0,18252.0,65.0,0.771
50,100.0,18252.0,60.0,0.777
51,100.0,18252.0,55.0,0.779
52,100.0,18252.0,50.0,0.779
53,100.0,18252.0,45.0,0.778
54,100.0,18252.0,40.0,0.774
55,100.0,18252.0,35.0,0.775
56,100.0,18252.0,30.0,0.77
57,100.0,18252.0,25.0,0.767
58,100.0,18252.0,20.0,0.763
59,100.0,18252.0,15.0,0.764
60,100.0,18252.0,10.0,0.759
61,100.0,18252.0,5.0,0.755
62,100.0,18252.0,0.0,0.75
63,500.0,99064.0,100.0,0.796
64,500.0,99064.0,95.0,0.825
65,500.0,99064.0,90.0,0.837
66,500.0,99064.0,85.0,0.839
67,500.0,99064.0,80.0,0.842
68,500.0,99064.0,75.0,0.843
69,500.0,99064.0,70.0,0.842
70,500.0,99064.0,65.0,0.841
71,500.0,99064.0,60.0,0.84
72,500.0,99064.0,55.0,0.842
73,500.0,99064.0,50.0,0.838
74,500.0,99064.0,45.0,0.839
75,500.0,99064.0,40.0,0.836
76,500.0,99064.0,35.0,0.83
77,500.0,99064.0,30.0,0.827
78,500.0,99064.0,25.0,0.818
79,500.0,99064.0,20.0,0.814
80,500.0,99064.0,15.0,0.812
81,500.0,99064.0,10.0,0.809
82,500.0,99064.0,5.0,0.807
83,500.0,99064.0,0.0,0.797
84,2000.0,10458.0,100.0,0.842
85,2000.0,10458.0,95.0,0.84
86,2000.0,10458.0,90.0,0.844
87,2000.0,10458.0,85.0,0.844
88,2000.0,10458.0,80.0,0.843
89,2000.0,10458.0,75.0,0.846
90,2000.0,10458.0,70.0,0.84
91,2000.0,10458.0,65.0,0.842
92,2000.0,10458.0,60.0,0.836
93,2000.0,10458.0,55.0,0.836
94,2000.0,10458.0,50.0,0.833
95,2000.0,10458.0,45.0,0.831
96,2000.0,10458.0,40.0,0.83
97,2000.0,10458.0,35.0,0.826
98,2000.0,10458.0,30.0,0.824
99,2000.0,10458.0,25.0,0.82
100,2000.0,10458.0,20.0,0.81
101,2000.0,10458.0,15.0,0.811
102,2000.0,10458.0,10.0,0.801
103,2000.0,10458.0,5.0,0.794
104,2000.0,10458.0,0.0,0.779
