,n_base,n_aug,del_p,acc
0,2000.0,100000.0,100.0,0.839
1,2000.0,100000.0,95.0,0.823
2,2000.0,100000.0,90.0,0.824
3,2000.0,100000.0,85.0,0.821
4,2000.0,100000.0,80.0,0.824
5,2000.0,100000.0,75.0,0.823
6,2000.0,100000.0,70.0,0.821
7,2000.0,100000.0,65.0,0.822
8,2000.0,100000.0,60.0,0.817
9,2000.0,100000.0,55.0,0.828
10,2000.0,100000.0,50.0,0.831
11,2000.0,100000.0,45.0,0.831
12,2000.0,100000.0,40.0,0.84
13,2000.0,100000.0,35.0,0.839
14,2000.0,100000.0,30.0,0.836
15,2000.0,100000.0,25.0,0.837
16,2000.0,100000.0,20.0,0.838
17,2000.0,100000.0,15.0,0.839
18,2000.0,100000.0,10.0,0.838
19,2000.0,100000.0,5.0,0.839
20,2000.0,100000.0,0.0,0.835
