,n_base,n_aug,del_p,acc
0,2000.0,31240.0,100.0,0.838
1,2000.0,31240.0,95.0,0.835
2,2000.0,31240.0,90.0,0.833
3,2000.0,31240.0,85.0,0.836
4,2000.0,31240.0,80.0,0.838
5,2000.0,31240.0,75.0,0.835
6,2000.0,31240.0,70.0,0.833
7,2000.0,31240.0,65.0,0.832
8,2000.0,31240.0,60.0,0.831
9,2000.0,31240.0,55.0,0.829
10,2000.0,31240.0,50.0,0.828
11,2000.0,31240.0,45.0,0.826
12,2000.0,31240.0,40.0,0.818
13,2000.0,31240.0,35.0,0.816
14,2000.0,31240.0,30.0,0.814
15,2000.0,31240.0,25.0,0.81
16,2000.0,31240.0,20.0,0.815
17,2000.0,31240.0,15.0,0.811
18,2000.0,31240.0,10.0,0.82
19,2000.0,31240.0,5.0,0.821
20,2000.0,31240.0,0.0,0.805
21,500.0,50000.0,100.0,0.792
22,500.0,50000.0,95.0,0.78
23,500.0,50000.0,90.0,0.787
24,500.0,50000.0,85.0,0.805
25,500.0,50000.0,80.0,0.805
26,500.0,50000.0,75.0,0.802
27,500.0,50000.0,70.0,0.801
28,500.0,50000.0,65.0,0.8
29,500.0,50000.0,60.0,0.8
30,500.0,50000.0,55.0,0.797
31,500.0,50000.0,50.0,0.793
32,500.0,50000.0,45.0,0.783
33,500.0,50000.0,40.0,0.784
34,500.0,50000.0,35.0,0.784
35,500.0,50000.0,30.0,0.783
36,500.0,50000.0,25.0,0.786
37,500.0,50000.0,20.0,0.79
38,500.0,50000.0,15.0,0.792
39,500.0,50000.0,10.0,0.803
40,500.0,50000.0,5.0,0.811
41,500.0,50000.0,0.0,0.802
42,100.0,10000.0,100.0,0.706
43,100.0,10000.0,95.0,0.736
44,100.0,10000.0,90.0,0.743
45,100.0,10000.0,85.0,0.75
46,100.0,10000.0,80.0,0.757
47,100.0,10000.0,75.0,0.757
48,100.0,10000.0,70.0,0.764
49,100.0,10000.0,65.0,0.763
50,100.0,10000.0,60.0,0.762
51,100.0,10000.0,55.0,0.758
52,100.0,10000.0,50.0,0.758
53,100.0,10000.0,45.0,0.759
54,100.0,10000.0,40.0,0.76
55,100.0,10000.0,35.0,0.767
56,100.0,10000.0,30.0,0.768
57,100.0,10000.0,25.0,0.766
58,100.0,10000.0,20.0,0.766
59,100.0,10000.0,15.0,0.76
60,100.0,10000.0,10.0,0.757
61,100.0,10000.0,5.0,0.749
62,100.0,10000.0,0.0,0.721
